,tcp_cc,qdisc,tcp_segment_size,minRTO,C,rtt_no_load,SRU,B,N,thr,fct,ecart_fct,drop_rate
0,NewReno,FIFO,1446,10,100,0.1,256000,1,1,97.93885998327131,21.78524,0.0,0.0
0,NewReno,FIFO,1446,10,100,0.1,256000,1,2,98.9534160386624,43.029704,0.1962230000000023,0.17687074829931973
0,NewReno,FIFO,1446,10,100,0.1,256000,1,4,99.4399785020639,91.42177500000001,1.5427699999999989,0.1215909090909091
0,NewReno,FIFO,1446,10,100,0.1,256000,1,8,99.64695492763572,171.775817,14.449057999999987,0.07545973367152822
0,NewReno,FIFO,1446,10,100,0.1,256000,1,10,99.6941315121516,216.33496100000002,13.519943000000007,0.06513994910941476
0,NewReno,FIFO,1446,10,100,0.1,256000,1,16,99.76687803336672,348.808406,133.37653899999998,0.060221870047543584
0,NewReno,FIFO,1446,10,100,0.1,256000,1,20,99.79045529332831,434.429125,118.78081699999998,0.06648129423660262
0,NewReno,FIFO,1446,10,100,0.1,256000,1,25,48.15382636280943,1117.3785579999999,747.1220669999999,0.06356018802370733
0,NewReno,FIFO,1446,10,100,0.1,256000,1,32,56.3207947896495,1236.483961,884.347319,0.07015065913370998
0,NewReno,FIFO,1446,10,100,0.1,256000,1,40,61.59450210597458,1414.372886,1075.076137,0.07514667332417925
0,NewReno,FIFO,1446,10,100,0.1,256000,1,48,45.384429956504775,2279.628368,1927.11987,0.07209204137639856
0,NewReno,FIFO,1446,10,100,0.1,256000,1,64,50.453863035013335,2771.095143,2363.543919,0.09471516815374056
0,NewReno,FIFO,1446,10,100,0.1,256000,1,100,66.72778404243425,3294.1023350000005,2763.535686,0.09367556268533372
0,NewReno,FIFO,1446,10,100,0.1,256000,5,1,97.93885998327131,21.78524,0.0,0.0
0,NewReno,FIFO,1446,10,100,0.1,256000,5,2,98.94346051697873,43.034023000000005,0.2095020000000003,0.16933638443935928
0,NewReno,FIFO,1446,10,100,0.1,256000,5,4,99.44221396530193,91.90177100000001,0.4627789999999965,0.125
0,NewReno,FIFO,1446,10,100,0.1,256000,5,8,99.64695492763572,171.775817,13.951141999999999,0.0777988614800759
0,NewReno,FIFO,1446,10,100,0.1,256000,5,10,99.70234067893497,216.81560100000002,6.764803000000014,0.06636271529888552
0,NewReno,FIFO,1446,10,100,0.1,256000,5,16,99.76698710842281,349.03944400000006,175.24723000000003,0.05571474052849411
0,NewReno,FIFO,1446,10,100,0.1,256000,5,20,99.79065631164796,435.7580740000001,157.78049200000004,0.06557377049180328
0,NewReno,FIFO,1446,10,100,0.1,256000,5,25,49.263124787155284,1096.1300950000002,778.0731690000001,0.06353084911423336
0,NewReno,FIFO,1446,10,100,0.1,256000,5,32,56.87365037106175,1213.102396,863.605732,0.0704448314073136
0,NewReno,FIFO,1446,10,100,0.1,256000,5,40,62.6215725983961,1390.15004,1043.293354,0.07292319258238315
0,NewReno,FIFO,1446,10,100,0.1,256000,5,48,46.963143984990026,2201.979151,1852.710626,0.07015873015873016
0,NewReno,FIFO,1446,10,100,0.1,256000,5,64,51.313098674550574,2713.718343,2361.615617,0.08913026731376628
0,NewReno,FIFO,1446,10,100,0.1,256000,5,100,69.0132099874772,3247.7442140000003,2856.6074430000003,0.09317303563761271
0,NewReno,FIFO,1446,10,100,0.1,256000,10,1,97.93885998327131,21.78524,0.0,0.0
0,NewReno,FIFO,1446,10,100,0.1,256000,10,2,98.9534160386624,43.029704,0.1962230000000023,0.1597222222222222
0,NewReno,FIFO,1446,10,100,0.1,256000,10,4,99.44165729405309,91.78177200000002,1.3027720000000076,0.13004484304932734
0,NewReno,FIFO,1446,10,100,0.1,256000,10,8,99.64792711122213,170.57150800000002,4.937938000000003,0.08121827411167512
0,NewReno,FIFO,1446,10,100,0.1,256000,10,10,99.69858300213572,216.926318,35.471121999999994,0.0668693009118541
0,NewReno,FIFO,1446,10,100,0.1,256000,10,16,99.76915253803918,347.95081500000003,127.95898600000002,0.05587484035759898
0,NewReno,FIFO,1446,10,100,0.1,256000,10,20,99.7925131312277,440.793713,189.94486500000002,0.06558603491271821
0,NewReno,FIFO,1446,10,100,0.1,256000,10,25,49.08775652345,1096.1300950000002,715.4293720000002,0.0633558144287758
0,NewReno,FIFO,1446,10,100,0.1,256000,10,32,57.308505580036176,1202.395605,837.174753,0.0668470475887315
0,NewReno,FIFO,1446,10,100,0.1,256000,10,40,63.10452133848486,1378.7587730000002,1162.816677,0.06675078864353312
0,NewReno,FIFO,1446,10,100,0.1,256000,10,48,48.084030856231635,2156.428816,1939.39487,0.06770337459007722
0,NewReno,FIFO,1446,10,100,0.1,256000,10,64,51.722921775291304,2694.576242,2293.6296039999997,0.08538093030443518
0,NewReno,FIFO,1446,10,100,0.1,256000,10,100,71.03129935549373,3123.5935080000004,2647.0131300000003,0.09839992334962154
0,NewReno,FIFO,1446,10,100,0.1,256000,16,1,97.93885998327131,21.78524,0.0,0.0
0,NewReno,FIFO,1446,10,100,0.1,256000,16,2,98.9534160386624,43.029704,0.1962230000000023,0.14788732394366197
0,NewReno,FIFO,1446,10,100,0.1,256000,16,4,99.4394159594022,91.301776,0.4627789999999965,0.13646532438478748
0,NewReno,FIFO,1446,10,100,0.1,256000,16,8,99.64287793349973,170.580146,6.413444000000018,0.08470290771175727
0,NewReno,FIFO,1446,10,100,0.1,256000,16,10,99.69802021758117,216.206324,36.44007399999999,0.06990881458966565
0,NewReno,FIFO,1446,10,100,0.1,256000,16,16,99.76674456154413,348.19945100000007,123.51870100000004,0.05463258785942492
